Nome	Ind	Bacia	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
PjumbPBM11	100	PBM	7.371408381	11.76094649	8.436527382	5.16740158	7.032240546	5.661779815	3.306321949	11.41849848	14.30054333	6.243965779	6.432964007	1.717300575	2.885313241	3.004287928	5.065312019	26.89048922	6.434385957	1.3784886
PjumbPBM12	101	PBM	6.985508067	11.50677114	8.415674752	5.653498888	6.698504565	5.649445571	3.434471782	11.83449362	14.71794059	6.193892371	6.456148163	1.630307339	2.782632132	3.142577495	4.752387633	26.74042553	6.040188478	1.508809164
PjumbPBM13	102	PBM	7.078813908	11.43108717	8.196803338	5.689440182	6.868242308	5.069381051	3.086620361	11.3067644	14.62400359	6.047293534	6.516598275	1.490551634	2.889975844	2.968480931	4.474965153	26.86925832	6.758996516	1.108822609
PjumbPBM14	103	PBM	6.39875104	11.8942024	8.204997593	5.070392228	7.777932382	5.299947601	3.626225441	11.52057154	14.62851265	5.689106945	6.411096309	1.482635298	2.749031496	2.683142159	5.29552358	27.08904396	6.55333275	1.269976774
PjumbPBM15	104	PBM	6.962258056	11.74833012	8.146873857	5.395041499	7.060278793	4.76243927	3.600716671	12.02164844	14.01006118	5.740680754	6.165278256	1.670096363	2.962398247	2.566706011	5.122060348	26.65690681	7.001782698	1.414982922
PjumbPBM16	105	PBM	6.223514639	11.68996489	8.263234751	5.499699452	6.83127921	4.976353851	3.313747899	12.70372838	14.15317038	5.696144573	6.364053493	1.68136063	2.980720807	2.92923295	4.705872517	26.14212211	6.571147897	1.396178142
PjumbPBM17	106	PBM	6.517621811	11.71980099	8.936353098	5.488333447	7.871027557	5.778123711	2.911039873	10.74855633	15.05103952	5.766688953	6.28534486	1.854807157	2.575775347	3.060729106	4.742151344	27.48197848	6.636219984	1.439620592
PjumbPBM18	107	PBM	6.687246725	11.45481628	8.526115061	5.596782714	6.938737147	5.321539977	3.144836781	11.89017112	14.00423455	5.549265899	6.020101857	1.765452825	3.000372592	3.054060472	4.769533101	26.34933987	6.652766234	1.427228816
PjumbPBM19	108	PBM	6.67781476	11.22838489	8.662029509	6.882103948	8.095709207	5.383550189	3.402870391	10.38730227	14.12439594	4.909555673	5.713086893	1.546740766	2.772830736	3.162576663	4.81919133	26.40796769	7.161596017	1.335950245
PjumbPBM20	109	PBM	6.297500591	11.68162323	8.769809078	5.799772359	7.769275127	5.893951647	3.201533603	11.50858411	14.79456734	6.098878708	6.232051779	1.557285535	2.956445663	3.009403405	4.606247248	26.84118948	6.794643242	1.280484338
