ID	Names	row.names	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
20	PcearIPU	Ipu20	-0.441485344	-0.110829252	-0.734336567	-0.819654709	-0.704029139	-0.376967159	-0.4918812	-0.71737993	-1.003186553	-0.86851843	-0.739263962	-0.45330371	-0.681363336	-0.662377413	-0.9942298	-1.02171763	-0.828144661	-0.936458138
21	PsomaPBN	spilPB1	1.047611197	1.259499795	1.271451116	1.302053943	0.143951654	1.096770635	0.7745716	0.72662749	1.018270703	1.05360656	1.03310339	0.8805057	1.260498896	2.312225447	0.66432077	1.03353642	1.396183237	-0.264353897
22	PsomaPBN	spilPB2	0.695743401	1.188066061	1.191095668	1.511150133	0.838625185	1.060579028	0.723226	0.75166849	0.97993453	0.96638992	0.700660218	1.38552226	1.308638063	0.283723766	0.82061762	0.66147608	0.884110564	-0.9971406
23	PsomaPBN	spilPB3	1.195642087	1.17030678	0.884822286	0.41900001	1.082016171	0.783888357	0.7178552	0.72831565	1.027078895	1.21326116	1.298814864	1.05430285	1.819032833	1.087929752	1.45751719	1.01522996	0.558930725	1.025148426
24	PsomaPBN	spilPB4	0.71522115	1.135978045	0.606848895	1.167262394	0.556907383	0.228853097	0.4430811	0.8781396	0.894453993	0.56423049	0.980513509	0.86748022	0.86626603	0.869890803	0.91821902	0.87406732	-0.014461575	0.985612883
25	PsomaPBN	spilPB5	0.680614173	1.24275407	0.530142836	0.8115701	0.690187314	0.127672261	0.4437256	1.09527881	0.742980473	0.87726995	1.185569849	-0.09007882	1.367989769	1.18086111	0.86127365	0.82625996	0.596583127	0.5300347
26	PsomaPBN	spilPB6	1.023422551	1.045330796	1.001947066	0.74824644	0.980387279	0.753728685	0.9144293	0.29333382	0.985091658	0.90100542	0.649838065	0.15591672	0.723343534	-0.018453037	0.94325882	0.93224748	0.771642349	1.262821404
27	PsomaPBN	spilPB7	0.591831876	1.323045411	0.650641581	1.184099899	0.897529102	0.637273434	1.04376	0.38561975	1.048391982	0.99393201	1.454816778	0.62446193	0.662646324	0.311902952	0.298955	0.86361748	0.43071696	2.027788201
28	PsomaPBN	spilPB8	0.501147102	1.36015041	0.80825394	0.582159094	0.149292276	0.437343993	0.475736	1.2823829	0.998235489	0.50959413	1.440785445	0.60659841	0.529441362	0.185596246	0.16702485	0.79942931	0.304165768	1.406712394
29	PsomaPBN	spilPB9	0.608229423	1.239537129	0.64354937	0.56477254	0.390405644	1.359062495	0.8128123	0.46566653	0.788481859	0.33773592	1.102155228	0.8555712	0.69912445	0.541733191	0.80594376	0.82192084	0.725970474	1.508769262
30	PsomaPBN	spilPB10	0.773110831	1.202299926	0.807427663	0.44260912	0.676050373	0.36885235	0.6110821	1.10273484	0.920148356	0.94097505	1.603858267	1.16297259	0.717662515	-0.13956358	-0.20924535	0.99676944	0.335754667	1.890333229
31	PsomaPBN	spilPB11	0.978669026	1.391350338	1.290868629	0.56477254	0.892895328	1.617073627	0.7803722	0.64341541	1.194160714	1.25569391	1.629932241	1.25154587	1.449916053	0.925649618	1.20334971	1.09995835	1.175941132	-0.330093231
